所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
天津,河东,二号桥街,黄岩里,14,合租,北,1200,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,曹庄欣苑,15,合租,南,1050,季付价,3,1,1,随时入住,1年,随时可看,中楼层,27,有,免费使用,民水,民电,有,集中供暖
天津,武清,中信广场,泽信金汇湾,18,合租,南,700,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,16,有,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,曹庄欣苑,12,合租,东,650,季付价,1,1,1,随时入住,4~36个月,随时可看,低楼层,20,无,免费使用,民水,民电,有,集中供暖
天津,武清,中信广场,泽信金汇湾,20,合租,南,800,季付价,2,1,1,随时入住,暂无数据,随时可看,高楼层,16,有,暂无数据,民水,民电,有,集中供暖
天津,和平,体育馆街,诚基经贸中心,60,整租,北,2100,半年付价,1,0,1,随时入住,1年以上,随时可看,中楼层,48,有,租用车位,民水,民电,有,集中供暖
天津,武清,下朱庄,颐洋花园,20,合租,南,500,季付价,3,1,1,随时入住,暂无数据,随时可看,高楼层,8,有,暂无数据,民水,民电,有,集中供暖
天津,南开,广开街,卫安西里,48,整租,东,1800,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,南开,长虹街,华安北里,37,整租,东,1650,季付价,1,1,1,随时入住,暂无数据,随时可看,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,滨海,中新生态城,阿亚拉雅境,16,合租,南,1500,季付价,3,2,2,随时入住,暂无数据,随时可看,高楼层,14,有,暂无数据,民水,民电,有,集中供暖
天津,滨海,中新生态城,力高阳光海岸,50,整租,南,1200,季付价,1,1,1,随时入住,暂无数据,随时可看,低楼层,30,有,暂无数据,民水,民电,有,集中供暖
天津,西青,张家窝,万科四季文园,12,合租,南,860,季付价,4,1,1,随时入住,1年,随时可看,低楼层,8,有,暂无数据,民水,民电,有,集中供暖
天津,武清,下朱庄,君利花园,19,合租,北,900,季付价,2,2,1,随时入住,暂无数据,随时可看,中楼层,26,有,暂无数据,民水,民电,有,集中供暖
天津,红桥,西沽街,水木天成阁林园,16,合租,南,800,季付价,5,1,2,随时入住,6~12个月,随时可看,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,滨海,中新生态城,世茂鲲贝园,15,合租,南,1300,季付价,3,1,1,随时入住,暂无数据,随时可看,中楼层,18,有,暂无数据,民水,民电,有,集中供暖
天津,西青,华苑,程华里,20,合租,南,1300,季付价,5,1,1,随时入住,暂无数据,随时可看,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,西青,华苑,程华里,14,合租,南,1200,季付价,5,1,1,随时入住,暂无数据,随时可看,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,南开,万兴街,义兴里,37,整租,南,1850,季付价,1,1,1,随时入住,暂无数据,随时可看,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,南开,向阳路,熙汇广场,40,整租,南,2200,季付价,1,1,1,随时入住,暂无数据,随时可看,低楼层,29,有,暂无数据,民水,民电,无,集中供暖
天津,南开,万兴街,长治里,61,整租,南,2000,季付价,2,1,1,随时入住,暂无数据,随时可看,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
天津,南开,万兴街,春香里,61,整租,南,1900,季付价,2,1,1,随时入住,暂无数据,随时可看,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,津南,辛庄,首创暖山,11,合租,南,930,季付价,3,1,1,随时入住,1年,随时可看,低楼层,33,有,暂无数据,民水,民电,有,集中供暖
天津,武清,南湖,逸溪苑,20,合租,南,1300,季付价,4,1,2,随时入住,暂无数据,随时可看,高楼层,8,有,暂无数据,暂无数据,暂无数据,有,集中供暖
天津,河西,陈塘庄,景致里,15,合租,南,1560,季付价,2,1,1,随时入住,1年,随时可看,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
天津,滨海,中新生态城,红树湾花园,111,整租,南,2600,季付价,3,1,1,随时入住,暂无数据,随时可看,高楼层,25,有,暂无数据,民水,民电,有,集中供暖
天津,河东,唐家口,英禧里,16,合租,北,1200,月付价,4,1,1,随时入住,11~12个月,随时可看,高楼层,7,无,租用车位,民水,民电,有,集中供暖
天津,南开,万兴街,红磡公寓,91,整租,西,3200,季付价,3,1,1,随时入住,暂无数据,随时可看,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
天津,西青,中北镇,华亭国际,12,合租,南,1360,季付价,3,1,1,随时入住,1年,随时可看,低楼层,6,无,租用车位,民水,民电,有,集中供暖
天津,河西,友谊路,中乒公寓,22,合租,东,1050,月付价,4,1,1,随时入住,3~12个月,随时可看,低楼层,8,有,免费使用,民水,民电,有,集中供暖
天津,河西,友谊路,纯雅公寓,25,合租,南,1150,月付价,3,1,1,随时入住,3~12个月,需提前预约,高楼层,6,无,免费使用,民水,民电,有,集中供暖
天津,河西,下瓦房,海河大观,16,合租,东,1399,月付价,2,0,2,随时入住,1年,随时可看,中楼层,24,有,租用车位,民水,民电,有,集中供暖
天津,西青,中北镇,溪茗园,17,合租,北,798,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,自采暖
天津,西青,中北镇,溪茗园,18,合租,南,1058,月付价,3,1,1,随时入住,1~12个月,随时可看,高楼层,6,无,免费使用,民水,民电,有,自采暖
