房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2349971265013686272,天津,河东,二号桥街,黄岩里,14㎡,合租,北,1200元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562215304688312320,天津,西青,中北镇,曹庄欣苑,15㎡,合租,南,1050元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,15,27层,有,免费使用,民水,民电,有,集中供暖
TJ2554929688791490560,天津,武清,中信广场,泽信金汇湾,18㎡,合租,南,700元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,16层,有,暂无数据,民水,民电,有,集中供暖
TJ2558480982584344576,天津,西青,中北镇,曹庄欣苑,12㎡,合租,东南,650元/月,季付价,1室,1厅,1卫,随时入住,4~36个月,随时可看,1,20层,无,免费使用,民水,民电,有,集中供暖
TJ2554929687785127936,天津,武清,中信广场,泽信金汇湾,20㎡,合租,南,800元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,16层,有,暂无数据,民水,民电,有,集中供暖
TJ2549266218129293312,天津,和平,体育馆街,诚基经贸中心,60㎡,整租,北,2100元/月,半年付价,1室,0厅,1卫,随时入住,1年以上,随时可看,22,48层,有,租用车位,民水,民电,有,集中供暖
TJ2425844298852605952,天津,武清,下朱庄,颐洋花园,20㎡,合租,南,500元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,8层,有,暂无数据,民水,民电,有,集中供暖
TJ2551354836046053376,天津,南开,广开街,卫安西里,48㎡,整租,东,1800元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2541067606379732992,天津,南开,长虹街,华安北里,37㎡,整租,东,1650元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2551938177825259520,天津,滨海新区,中新生态城,阿亚拉雅境,16㎡,合租,南,1500元/月,季付价,3室,2厅,2卫,随时入住,暂无数据,随时可看,高楼层,14层,有,暂无数据,民水,民电,有,集中供暖
TJ2420278297591291904,天津,滨海新区,中新生态城,力高阳光海岸,50㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,30层,有,暂无数据,民水,民电,有,集中供暖
TJ2316136994889277440,天津,西青,张家窝,万科四季文园,12㎡,合租,南,860元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,1,8层,有,暂无数据,民水,民电,有,集中供暖
TJ2406503516026970112,天津,武清,下朱庄,君利花园,19㎡,合租,北,900元/月,季付价,2室,2厅,1卫,随时入住,暂无数据,随时可看,中楼层,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2381725833950658560,天津,红桥,西沽街,水木天成阁林园,16㎡,合租,南,800元/月,季付价,5室,1厅,2卫,随时入住,6~12个月,随时可看,6,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2366440373959794688,天津,滨海新区,中新生态城,世茂鲲贝园,15㎡,合租,南,1300元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2379468096864780288,天津,西青,华苑,程华里,20㎡,合租,南,1300元/月,季付价,5室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2379468101143240704,天津,西青,华苑,程华里,14㎡,合租,南,1200元/月,季付价,5室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564291433074786304,天津,南开,万兴街,义兴里,37㎡,整租,南,1850元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2553590808024989696,天津,南开,向阳路,熙汇广场,40㎡,整租,南,2200元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,29层,有,暂无数据,民水,民电,无,集中供暖
TJ2361621726024450048,天津,南开,万兴街,长治里,61㎡,整租,南,2000元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2379624778102210560,天津,南开,万兴街,春香里,61㎡,整租,南/北,1900元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2063737967964323840,天津,津南,辛庄,首创暖山,11㎡,合租,南,930元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,33层,有,暂无数据,民水,民电,有,集中供暖
TJ2428229362005581824,天津,武清,南湖,逸溪苑,20㎡,合租,南,1300元/月,季付价,4室,1厅,2卫,随时入住,暂无数据,随时可看,高楼层,8层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2368308487525769216,天津,河西,陈塘庄,景致里,15㎡,合租,南,1560元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2565206044574236672,天津,滨海新区,中新生态城,红树湾花园,111㎡,整租,南/北,2600元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,25层,有,暂无数据,民水,民电,有,集中供暖
TJ2565169364059815936,天津,河东,唐家口,英禧里,16㎡,合租,北,1200元/月,月付价,4室,1厅,1卫,随时入住,11~12个月,随时可看,5,7层,无,租用车位,民水,民电,有,集中供暖
TJ2557067350965239808,天津,南开,万兴街,红磡公寓,91㎡,整租,西南,3200元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2316409431887724544,天津,西青,中北镇,华亭国际,12㎡,合租,南,1360元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,租用车位,民水,民电,有,集中供暖
TJ2565069818772324352,天津,河西,友谊路,中乒公寓,22㎡,合租,东南,1050元/月,月付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,2,8层,有,免费使用,民水,民电,有,集中供暖
TJ2565061381083119616,天津,河西,友谊路,纯雅公寓,25㎡,合租,南,1150元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,需提前预约,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2506251501731577856,天津,河西,下瓦房,海河大观,16㎡,合租,东,1399元/月,月付价,2室,0厅,2卫,随时入住,1年,随时可看,11,24层,有,租用车位,民水,民电,有,集中供暖
TJ2565071745258094592,天津,西青,中北镇,溪茗园,17㎡,合租,北,798元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,自采暖
TJ2565062187211571200,天津,西青,中北镇,溪茗园,18㎡,合租,南,1058元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,自采暖
TJ2520728723360595968,天津,南开,广开街,博朗园,60㎡,整租,南,3000元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2565028818201362432,天津,西青,中北镇,水溪苑,15㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,6,10层,有,免费使用,民水,民电,有,自采暖
TJ2512297880924979200,天津,南开,广开街,新建楼,71㎡,整租,南,2700元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2564997324095102976,天津,西青,中北镇,水溪苑,18㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,7,10层,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
TJ2518858697443655680,天津,南开,学府街,府湖里,53㎡,整租,东/西,2600元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564997293325959168,天津,西青,中北镇,水溪苑,18㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,7,10层,暂无数据,免费使用,暂无数据,暂无数据,暂无数据,自采暖
TJ2389855174756663296,天津,南开,鼓楼街,如意大厦,68㎡,整租,东,2750元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,40层,有,暂无数据,民水,民电,有,集中供暖
TJ2470980438991585280,天津,南开,广开街,博朗园,47㎡,整租,南,2500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2374652764652306432,天津,南开,广开街,博朗园,46㎡,整租,南,2500元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2553598548293984256,天津,南开,向阳路,熙汇广场,59㎡,整租,东,2500元/月,季付价,1室,0厅,1卫,随时入住,暂无数据,随时可看,中楼层,29层,有,暂无数据,商水,民电,无,集中供暖
TJ2397824904747040768,天津,南开,广开街,博朗园,60㎡,整租,西南,3200元/月,季付价,1室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
TJ2565040723145793536,天津,河北,铁东路,志成东里,40㎡,整租,南,1250元/月,年付价,1室,1厅,1卫,随时入住,3~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2425844298894819328,天津,武清,下朱庄,颐洋花园,15㎡,合租,北,500元/月,季付价,3室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,8层,有,暂无数据,民水,民电,有,集中供暖
TJ2565162418376278016,天津,河西,小海地,桂江里(河西区),28㎡,整租,南,1180元/月,年付价,1室,1厅,1卫,随时入住,3~12个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2401178888177983488,天津,滨海新区,中新生态城,万科锦庐,125㎡,整租,南/北,7000元/月,季付价,3室,2厅,2卫,随时入住,暂无数据,随时可看,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2401276002623307776,天津,滨海新区,中新生态城,世茂鲲玺园,100㎡,整租,南,3000元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2553509549005086720,天津,南开,广开街,博朗园,77㎡,整租,南,4600元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,低楼层,31层,有,暂无数据,民水,民电,有,集中供暖
TJ2522392817959960576,天津,红桥,三条石,泰达城河与海,87㎡,整租,南,4000元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,33层,有,暂无数据,民水,民电,有,集中供暖
TJ2543936841254436864,天津,南开,鼓楼街,艺术公寓,89㎡,整租,西南,3500元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,中楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2431908759539556352,天津,河西,下瓦房,恒华公寓,170㎡,整租,东南,7200元/月,季付价,3室,1厅,2卫,随时入住,暂无数据,随时可看,高楼层,34层,有,暂无数据,民水,民电,有,自采暖
TJ2421522794002259968,天津,武清,下朱庄,君利新家园,20㎡,合租,北,1200元/月,季付价,2室,1厅,1卫,随时入住,暂无数据,随时可看,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
