日期,星期,最高气温,最低气温,天气,风向,风力
2011-01-01,星期六,0℃,-6℃,小雪~阴,东风,微风
2011-01-02,星期日,0℃,-6℃,阴~多云,东风,微风
2011-01-03,星期一,1℃,-7℃,多云,东风,微风
2011-01-04,星期二,0℃,-8℃,晴,东风,微风
2011-01-05,星期三,-1℃,-6℃,阴,东风,微风
2011-01-06,星期四,-1℃,-6℃,阴~多云,东风,微风
2011-01-07,星期五,4℃,-6℃,晴,旋转风,微风
2011-01-08,星期六,-2℃,-5℃,小雪,旋转风,微风
2011-01-09,星期日,-1℃,-5℃,多云,旋转风,微风
2011-01-10,星期一,1℃,-5℃,多云,旋转风,微风
2011-01-11,星期二,0℃,-6℃,晴,旋转风,微风
2011-01-12,星期三,3℃,-7℃,晴,旋转风,微风
2011-01-13,星期四,2℃,-6℃,多云,旋转风,微风
2011-01-14,星期五,2℃,-5℃,晴~阴,旋转风,微风
2011-01-15,星期六,0℃,-4℃,小雪,旋转风,微风
2011-01-16,星期日,-1℃,-4℃,小雪,旋转风,微风
2011-01-26,星期三,2℃,-5℃,小雪~小到中雪,旋转风,微风
2011-01-29,星期六,3℃,-5℃,晴,旋转风,微风
2011-01-30,星期日,3℃,-5℃,晴~多云,旋转风,微风
2011-01-31,星期一,4℃,-5℃,晴,旋转风,微风
2011-02-01,星期二,5℃,-3℃,晴,旋转风,微风
2011-02-02,星期三,9℃,-2℃,多云,旋转风,微风
2011-02-03,星期四,10℃,-2℃,晴,旋转风,微风
2011-02-04,星期五,11℃,0℃,晴,旋转风,微风
2011-02-05,星期六,14℃,1℃,晴,旋转风,微风
2011-02-06,星期日,11℃,2℃,多云~阴,旋转风,微风
2011-02-07,星期一,13℃,2℃,多云,旋转风,微风
2011-02-08,星期二,9℃,1℃,阴~小雨,旋转风,微风
2011-02-09,星期三,4℃,-2℃,小雨~雨夹雪,东北风,3-4级
2011-02-10,星期四,6℃,0℃,多云,旋转风,微风
2011-02-11,星期五,6℃,1℃,阴,旋转风,微风
2011-02-12,星期六,4℃,-2℃,雨夹雪~阴,旋转风,微风
2011-02-13,星期日,7℃,-2℃,晴~多云,旋转风,微风
2011-02-14,星期一,10℃,-1℃,多云,旋转风,微风
2011-02-15,星期二,6℃,-1℃,阴~小雪,旋转风,微风
2011-02-16,星期三,6℃,-1℃,多云,旋转风,微风
2011-02-17,星期四,7℃,0℃,阴~小雪,旋转风,微风
2011-02-18,星期五,6℃,-2℃,雨夹雪~小雪,旋转风,微风
2011-02-19,星期六,8℃,1℃,阴,旋转风,微风
2011-02-20,星期日,11℃,4℃,阴,旋转风,微风
2011-02-21,星期一,11℃,3℃,阴,旋转风,微风
2011-02-22,星期二,11℃,3℃,阴~多云,旋转风,微风
2011-02-23,星期三,17℃,5℃,多云,旋转风,微风
2011-02-24,星期四,17℃,4℃,多云~小雨,旋转风,微风
2011-02-25,星期五,8℃,3℃,小雨~小到中雨,东风,3-4级
2011-02-26,星期六,5℃,2℃,小雨~雨夹雪,东北风~旋转风,3-4级~微风
2011-02-27,星期日,4℃,0℃,雨夹雪,东北风~旋转风,3-4级~微风
2011-02-28,星期一,5℃,-1℃,雨夹雪~阴,旋转风,微风
2011-03-01,星期二,8℃,1℃,多云,旋转风,微风
2011-03-02,星期三,12℃,2℃,晴~多云,旋转风,微风
2011-03-03,星期四,10℃,2℃,多云,旋转风,微风
2011-03-04,星期五,12℃,4℃,多云~阴,旋转风,微风
2011-03-05,星期六,9℃,2℃,阴,旋转风,微风
2011-03-06,星期日,13℃,2℃,阴~晴,旋转风,微风
2011-03-07,星期一,16℃,2℃,晴,旋转风,微风
2011-03-08,星期二,17℃,3℃,多云,旋转风,微风
2011-03-09,星期三,13℃,4℃,多云,旋转风,微风
2011-03-10,星期四,15℃,4℃,多云~晴,旋转风,微风
2011-03-11,星期五,17℃,5℃,晴,旋转风,微风
2011-03-12,星期六,19℃,7℃,晴~多云,旋转风,微风
2011-03-13,星期日,20℃,6℃,多云~阵雨,旋转风~北风,微风~3-4级
2011-03-14,星期一,10℃,3℃,阴~多云,西北风~旋转风,3-4级~微风
2011-03-15,星期二,12℃,2℃,晴,旋转风,微风
2011-03-16,星期三,15℃,2℃,晴,旋转风,微风
2011-03-17,星期四,19℃,6℃,多云~阴,旋转风,微风
2011-03-18,星期五,15℃,5℃,多云~阴,旋转风,微风
2011-03-19,星期六,9℃,3℃,小雨,旋转风,微风
2011-03-20,星期日,6℃,2℃,小雨,旋转风,微风
2011-03-21,星期一,7℃,1℃,阴,旋转风,微风
2011-03-22,星期二,12℃,1℃,多云,旋转风,微风
2011-03-23,星期三,12℃,2℃,多云,旋转风,微风
2011-03-24,星期四,11℃,3℃,多云,旋转风,微风
2011-03-25,星期五,15℃,3℃,晴,旋转风,微风
2011-03-26,星期六,17℃,4℃,晴,旋转风,微风
2011-03-27,星期日,17℃,5℃,晴,旋转风,微风
2011-03-28,星期一,19℃,6℃,晴,旋转风,微风
2011-03-29,星期二,21℃,8℃,多云,旋转风,微风
2011-03-30,星期三,22℃,10℃,晴~阴,旋转风,微风
2011-03-31,星期四,22℃,11℃,多云~阴,旋转风,微风
2011-04-01,星期五,17℃,6℃,小雨,旋转风,微风
2011-04-02,星期六,13℃,4℃,小雨~阴,旋转风,微风
2011-04-03,星期日,13℃,4℃,多云,旋转风,微风
2011-04-04,星期一,15℃,6℃,多云,旋转风,微风
2011-04-05,星期二,14℃,7℃,阵雨,旋转风,微风
2011-04-06,星期三,13℃,9℃,阴,旋转风,微风
2011-04-07,星期四,12℃,7℃,阵雨~阴,旋转风,微风
2011-04-08,星期五,19℃,8℃,多云,旋转风,微风
2011-04-09,星期六,24℃,10℃,多云,旋转风,微风
2011-04-10,星期日,24℃,9℃,晴,旋转风,微风
2011-04-11,星期一,20℃,10℃,多云~晴,旋转风,微风
2011-04-12,星期二,24℃,12℃,多云~晴,旋转风,微风
2011-04-13,星期三,27℃,14℃,晴,旋转风,微风
2011-04-14,星期四,28℃,16℃,多云,旋转风,微风
2011-04-15,星期五,27℃,14℃,晴~多云,旋转风,微风
2011-04-16,星期六,27℃,13℃,多云,北风,3-4级
2011-04-17,星期日,26℃,13℃,晴,旋转风,微风
2011-04-18,星期一,28℃,16℃,晴,旋转风,微风
2011-04-19,星期二,28℃,17℃,多云~阴,旋转风,微风
2011-04-20,星期三,19℃,14℃,小雨~阴,旋转风,微风
2011-04-21,星期四,25℃,11℃,多云~晴,旋转风,微风
2011-04-22,星期五,28℃,13℃,晴,旋转风,微风
2011-04-23,星期六,29℃,14℃,晴,旋转风,微风
2011-04-24,星期日,30℃,15℃,晴,旋转风~西南风,微风~3-4级
2011-04-25,星期一,31℃,16℃,晴,西风,3-4级
2011-04-26,星期二,31℃,16℃,晴,西南风,3-4级
2011-04-27,星期三,29℃,19℃,多云,旋转风,微风
2011-04-28,星期四,32℃,22℃,多云,旋转风,微风
2011-04-29,星期五,33℃,17℃,阴~阵雨,旋转风~西北风,微风~4-5级
2011-04-30,星期六,28℃,14℃,多云~阴,旋转风,微风
2011-05-01,星期日,22℃,14℃,阵雨~小雨,旋转风,微风
2011-05-02,星期一,22℃,11℃,小雨~多云,旋转风,微风
2011-05-03,星期二,26℃,13℃,多云,旋转风,微风
2011-05-04,星期三,29℃,15℃,晴,旋转风,微风
2011-05-05,星期四,30℃,18℃,晴~多云,旋转风,微风
2011-05-06,星期五,31℃,20℃,晴~多云,旋转风,微风
2011-05-07,星期六,32℃,22℃,多云~阴,旋转风,微风
2011-05-08,星期日,31℃,13℃,雷阵雨~阵雨,旋转风,微风
2011-05-09,星期一,21℃,13℃,小到中雨~中雨,旋转风,微风
2011-05-10,星期二,21℃,11℃,小雨~多云,旋转风,微风
2011-05-11,星期三,26℃,12℃,多云,旋转风,微风
2011-05-12,星期四,25℃,14℃,晴~多云,旋转风,微风
2011-05-13,星期五,23℃,13℃,多云~阴,旋转风,微风
2011-05-14,星期六,25℃,15℃,阴~多云,旋转风,微风
2011-05-15,星期日,29℃,14℃,多云~晴,旋转风,微风
2011-05-16,星期一,31℃,16℃,晴,旋转风,微风
2011-05-17,星期二,35℃,22℃,晴,旋转风,微风
2011-05-18,星期三,36℃,23℃,多云,旋转风,微风
2011-05-19,星期四,33℃,22℃,多云~阴,旋转风,微风
2011-05-20,星期五,24℃,15℃,阵雨~中雨,旋转风,微风
2011-05-21,星期六,17℃,12℃,小到中雨~阴,旋转风,微风
2011-05-22,星期日,22℃,11℃,小雨~多云,旋转风,微风
2011-05-23,星期一,24℃,13℃,多云,旋转风,微风
2011-05-24,星期二,22℃,13℃,阵雨~阴,旋转风,微风
2011-05-25,星期三,27℃,15℃,多云,旋转风,微风
2011-05-26,星期四,29℃,16℃,晴,旋转风,微风
2011-05-27,星期五,31℃,18℃,晴,旋转风,微风
2011-05-28,星期六,31℃,18℃,阴~小到中雨,旋转风,微风
2011-05-29,星期日,23℃,18℃,小到中雨~多云,旋转风,微风
2011-05-30,星期一,25℃,14℃,阵雨~阴,旋转风,微风
2011-05-31,星期二,30℃,16℃,晴,旋转风,微风
2011-06-01,星期三,32℃,20℃,晴~多云,旋转风,微风
2011-06-02,星期四,30℃,19℃,多云,旋转风,微风
2011-06-03,星期五,30℃,19℃,阴,旋转风,微风
2011-06-04,星期六,31℃,19℃,晴~多云,旋转风,微风
2011-06-05,星期日,30℃,20℃,多云~阴,旋转风,微风
2011-06-06,星期一,33℃,20℃,晴,旋转风,微风
2011-06-07,星期二,37℃,23℃,晴,旋转风,微风
2011-06-08,星期三,37℃,24℃,多云~阴,旋转风,微风
2011-06-09,星期四,23℃,19℃,小雨~多云,旋转风,微风
2011-06-10,星期五,33℃,20℃,晴~多云,旋转风,微风
2011-06-11,星期六,35℃,21℃,多云,旋转风,微风
2011-06-12,星期日,33℃,22℃,阴,旋转风,微风
2011-06-13,星期一,32℃,19℃,阴~阵雨,旋转风,微风
2011-06-14,星期二,34℃,22℃,阴~多云,旋转风,微风
2011-06-15,星期三,36℃,25℃,晴~多云,旋转风,微风
2011-06-16,星期四,33℃,20℃,阴~小到中雨,旋转风,微风
2011-06-17,星期五,26℃,19℃,小到中雨,旋转风,微风
2011-06-18,星期六,31℃,21℃,多云,旋转风,微风
2011-06-19,星期日,28℃,21℃,多云~阴,旋转风,微风
2011-06-20,星期一,27℃,19℃,小雨,旋转风,微风
2011-06-21,星期二,21℃,19℃,中雨,旋转风,微风
2011-06-22,星期三,25℃,19℃,小雨~阴,旋转风,微风
2011-06-23,星期四,35℃,21℃,多云~晴,旋转风,微风
2011-06-24,星期五,36℃,23℃,晴,旋转风,微风
2011-06-25,星期六,34℃,21℃,晴~多云,旋转风,微风
2011-06-26,星期日,25℃,21℃,雷阵雨~小雨,旋转风,微风
2011-06-27,星期一,31℃,21℃,晴,旋转风,微风
2011-06-28,星期二,35℃,22℃,晴,旋转风,微风
2011-06-29,星期三,35℃,23℃,多云,旋转风,微风
2011-06-30,星期四,36℃,25℃,多云~阴,旋转风,微风
2011-07-01,星期五,36℃,25℃,阴,旋转风,微风
2011-07-02,星期六,36℃,24℃,雷阵雨~小到中雨,西风~旋转风,3-4级~微风
2011-07-03,星期日,26℃,23℃,小雨~小到中雨,旋转风,微风
2011-07-04,星期一,29℃,22℃,小雨,旋转风,微风
2011-07-05,星期二,26℃,22℃,中雨,旋转风,微风
2011-07-06,星期三,23℃,19℃,小雨~阴,旋转风,微风
2011-07-07,星期四,32℃,20℃,晴,旋转风,微风
2011-07-08,星期五,36℃,23℃,晴,旋转风,微风
2011-07-09,星期六,32℃,24℃,阵雨,旋转风,微风
2011-07-10,星期日,33℃,23℃,阴~阵雨,旋转风,微风
2011-07-11,星期一,29℃,23℃,阵雨,旋转风,微风
2011-07-12,星期二,30℃,22℃,多云,旋转风,微风
2011-07-13,星期三,32℃,24℃,多云,旋转风,微风
2011-07-14,星期四,36℃,26℃,多云,旋转风,微风
2011-07-15,星期五,36℃,25℃,多云,旋转风,微风
2011-07-16,星期六,36℃,25℃,多云,旋转风,微风
2011-07-17,星期日,36℃,25℃,雷阵雨,旋转风,微风
2011-07-18,星期一,35℃,25℃,多云~晴,旋转风,微风
2011-07-19,星期二,34℃,25℃,多云,旋转风,微风
2011-07-20,星期三,34℃,25℃,多云,旋转风,微风
2011-07-21,星期四,27℃,23℃,小到中雨,旋转风,微风
2011-07-22,星期五,29℃,22℃,小到中雨~阵雨,旋转风,微风
2011-07-23,星期六,30℃,24℃,多云,旋转风,微风
2011-07-24,星期日,36℃,26℃,多云,旋转风,微风
2011-07-25,星期一,38℃,28℃,多云,旋转风,微风
2011-07-26,星期二,34℃,27℃,阴~阵雨,旋转风,微风
2011-07-27,星期三,36℃,26℃,多云,旋转风,微风
2011-07-28,星期四,35℃,22℃,多云~雷阵雨,旋转风,微风
2011-07-29,星期五,24℃,21℃,小到中雨,旋转风,微风
2011-07-30,星期六,31℃,22℃,晴,旋转风,微风
2011-07-31,星期日,25℃,21℃,中雨,旋转风,微风
2011-08-01,星期一,23℃,19℃,小雨,旋转风,微风
2011-08-02,星期二,28℃,19℃,阴,旋转风,微风
2011-08-03,星期三,29℃,19℃,阴~小雨,旋转风,微风
2011-08-04,星期四,24℃,19℃,中雨,旋转风,微风
2011-08-05,星期五,26℃,19℃,小雨~阴,旋转风,微风
2011-08-06,星期六,30℃,21℃,多云,旋转风,微风
2011-08-07,星期日,32℃,21℃,多云,旋转风,微风
2011-08-08,星期一,35℃,23℃,晴,旋转风,微风
2011-08-09,星期二,35℃,25℃,多云,旋转风,微风
2011-08-10,星期三,34℃,24℃,多云,旋转风,微风
2011-08-11,星期四,34℃,25℃,多云,旋转风,微风
2011-08-12,星期五,32℃,25℃,多云,旋转风,微风
2011-08-13,星期六,34℃,26℃,多云,旋转风,微风
2011-08-14,星期日,36℃,27℃,多云,旋转风,微风
2011-08-15,星期一,36℃,26℃,阴,旋转风,微风
2011-08-16,星期二,29℃,23℃,阵雨~小雨,旋转风,微风
2011-08-17,星期三,32℃,23℃,阴~阵雨,旋转风,微风
2011-08-18,星期四,27℃,22℃,小雨,旋转风,微风
2011-08-19,星期五,23℃,19℃,小雨,旋转风,微风
2011-08-20,星期六,23℃,18℃,小雨~中雨,旋转风,微风
2011-08-21,星期日,21℃,17℃,小雨~阴,旋转风,微风
2011-08-22,星期一,26℃,18℃,阴~多云,旋转风,微风
2011-08-23,星期二,26℃,19℃,多云,旋转风,微风
2011-08-24,星期三,29℃,20℃,多云~阵雨,旋转风,微风
2011-08-25,星期四,28℃,21℃,阵雨,旋转风,微风
2011-08-26,星期五,30℃,21℃,多云~阵雨,旋转风,微风
2011-08-27,星期六,30℃,20℃,多云,旋转风,微风
2011-08-28,星期日,29℃,22℃,多云,旋转风,微风
2011-08-29,星期一,31℃,22℃,多云,旋转风,微风
2011-08-30,星期二,32℃,22℃,多云~晴,旋转风,微风
2011-08-31,星期三,32℃,23℃,多云~晴,旋转风,微风
2011-09-01,星期四,32℃,23℃,晴~多云,旋转风,微风
2011-09-02,星期五,30℃,22℃,多云~阵雨,旋转风,微风
2011-09-03,星期六,28℃,22℃,阵雨,旋转风,微风
2011-09-04,星期日,24℃,18℃,小到中雨~中雨,旋转风,微风
2011-09-05,星期一,20℃,16℃,中雨,旋转风,微风
2011-09-06,星期二,18℃,15℃,中到大雨~小到中雨,旋转风,微风
2011-09-07,星期三,20℃,15℃,小雨~多云,旋转风,微风
2011-09-08,星期四,26℃,16℃,多云~阴,旋转风,微风
2011-09-09,星期五,25℃,18℃,阴,旋转风,微风
2011-09-10,星期六,22℃,17℃,小雨~中雨,旋转风,微风
2011-09-11,星期日,18℃,16℃,中到大雨,旋转风,微风
2011-09-12,星期一,21℃,17℃,阴~中雨,旋转风,微风
2011-09-13,星期二,19℃,16℃,中到大雨~小雨,旋转风,微风
2011-09-14,星期三,23℃,18℃,阴,旋转风,微风
2011-09-15,星期四,24℃,18℃,阴,旋转风,微风
2011-09-16,星期五,22℃,15℃,小雨~大雨,旋转风,微风
2011-09-17,星期六,16℃,13℃,大雨,旋转风,微风
2011-09-18,星期日,15℃,13℃,大雨~小到中雨,旋转风,微风
2011-09-19,星期一,14℃,10℃,阵雨,旋转风,微风
2011-09-20,星期二,18℃,11℃,多云~晴,旋转风,微风
2011-09-21,星期三,22℃,13℃,晴,旋转风,微风
2011-09-22,星期四,24℃,14℃,多云,旋转风,微风
2011-09-23,星期五,24℃,14℃,多云,旋转风,微风
2011-09-24,星期六,25℃,15℃,多云,旋转风,微风
2011-09-25,星期日,23℃,16℃,多云,旋转风,微风
2011-09-26,星期一,23℃,14℃,多云~阴,旋转风,微风
2011-09-27,星期二,19℃,13℃,小到中雨,旋转风,微风
2011-09-28,星期三,17℃,12℃,小到中雨~阴,旋转风,微风
2011-09-29,星期四,22℃,13℃,多云,旋转风,微风
2011-09-30,星期五,24℃,15℃,多云,旋转风,微风
2011-10-01,星期六,23℃,15℃,多云,旋转风,微风
2011-10-02,星期日,18℃,14℃,阵雨~小雨,北风,3-4级
2011-10-03,星期一,17℃,13℃,阴~阵雨,旋转风,微风
2011-10-04,星期二,19℃,12℃,阴~多云,旋转风,微风
2011-10-05,星期三,24℃,13℃,晴,旋转风,微风
2011-10-06,星期四,25℃,15℃,晴,旋转风,微风
2011-10-07,星期五,23℃,14℃,多云,旋转风,微风
