year,month,day,week,high_temp_2,high_temp_1,average,actual
2011,01,03,Mon,0,0,4.9,1
2011,01,04,Tue,0,1,5.0,0
2011,01,05,Wed,1,0,3.4,-1
2011,01,06,Thu,0,-1,2.2,-1
2011,01,07,Fri,-1,-1,4.6,4
2011,01,08,Sat,-1,4,3.2,-2
2011,01,09,Sun,4,-2,3.5,-1
2011,01,10,Mon,-2,-1,4.0,1
2011,01,11,Tue,-1,1,5.3,0
2011,01,12,Wed,1,0,5.4,3
2011,01,13,Thu,0,3,5.1,2
2011,01,14,Fri,3,2,4.9,2
2011,01,15,Sat,2,2,4.4,0
2011,01,16,Sun,2,0,4.5,-1
2011,01,26,Wed,0,-1,4.8,2
2011,01,29,Sat,-1,2,5.9,3
2011,01,30,Sun,2,3,5.7,3
2011,01,31,Mon,3,3,5.8,4
2011,02,01,Tue,3,4,6.0,5
2011,02,02,Wed,4,5,7.3,9
2011,02,03,Thu,5,9,8.1,10
2011,02,04,Fri,9,10,9.1,11
2011,02,05,Sat,10,11,8.0,14
2011,02,06,Sun,11,14,6.7,11
2011,02,07,Mon,14,11,6.2,13
2011,02,08,Tue,11,13,6.1,9
2011,02,09,Wed,13,9,5.8,4
2011,02,10,Thu,9,4,6.2,6
2011,02,11,Fri,4,6,7.7,6
2011,02,12,Sat,6,6,8.2,4
2011,02,13,Sun,6,4,8.9,7
2011,02,14,Mon,4,7,7.8,10
2011,02,15,Tue,7,10,8.1,6
2011,02,16,Wed,10,6,8.0,6
2011,02,17,Thu,6,6,7.5,7
2011,02,18,Fri,6,7,7.9,6
2011,02,19,Sat,7,6,10.3,8
2011,02,20,Sun,6,8,9.3,11
2011,02,21,Mon,8,11,9.0,11
2011,02,22,Tue,11,11,9.8,11
2011,02,23,Wed,11,11,11.8,17
2011,02,24,Thu,11,17,12.9,17
2011,02,25,Fri,17,17,12.4,8
2011,02,26,Sat,17,8,11.2,5
2011,02,27,Sun,8,5,10.3,4
2011,02,28,Mon,5,4,10.7,5
2011,03,01,Tue,4,5,11.1,8
2011,03,02,Wed,5,8,11.3,12
2011,03,03,Thu,8,12,13.4,10
2011,03,04,Fri,12,10,13.0,12
2011,03,05,Sat,10,12,12.9,9
2011,03,06,Sun,12,9,13.1,13
2011,03,07,Mon,9,13,13.6,16
2011,03,08,Tue,13,16,14.0,17
2011,03,09,Wed,16,17,14.5,13
2011,03,10,Thu,17,13,13.5,15
2011,03,11,Fri,13,15,15.4,17
2011,03,12,Sat,15,17,16.5,19
2011,03,13,Sun,17,19,15.6,20
2011,03,14,Mon,19,20,16.2,10
2011,03,15,Tue,20,10,16.0,12
2011,03,16,Wed,10,12,16.7,15
2011,03,17,Thu,12,15,17.2,19
2011,03,18,Fri,15,19,17.7,15
2011,03,19,Sat,19,15,17.0,9
2011,03,20,Sun,15,9,17.6,6
2011,03,21,Mon,9,6,16.1,7
2011,03,22,Tue,6,7,17.0,12
2011,03,23,Wed,7,12,17.1,12
2011,03,24,Thu,12,12,17.7,11
2011,03,25,Fri,12,11,19.0,15
2011,03,26,Sat,11,15,20.3,17
2011,03,27,Sun,15,17,19.9,17
2011,03,28,Mon,17,17,21.9,19
2011,03,29,Tue,17,19,22.2,21
2011,03,30,Wed,19,21,21.0,22
2011,03,31,Thu,21,22,21.8,22
2011,04,01,Fri,22,22,21.1,17
2011,04,02,Sat,22,17,19.9,13
2011,04,03,Sun,17,13,19.5,13
